student,course,activity,room,day,time
Yanick Abbing WRONG,Analysemethoden en -technieken,h1,A1.10,wo,15
Yanick Abbing,Data Mining,p1,A1.06,vr,15
Yanick Abbing,Data Mining,h1,C0.110,ma,11
Yanick Abbing,Data Mining,h2,C0.110,do,9
Yanick Abbing,Data Mining,w1,A1.06,do,11
Yanick Abbing,Lineaire Algebra,h2,C1.112,di,9
Yanick Abbing,Lineaire Algebra,h1,B0.201,do,15
Yanick Abbing,Software engineering,h1,A1.04,ma,13
Yanick Abbing,Software engineering,w1,A1.10,vr,15
Yanick Abbing,Software engineering,p1,A1.04,do,11
Roelof Adam,Webprogrammeren en databases WRONG,h1,C0.110,di,13
Roelof Adam,Webprogrammeren en databases,h2,C1.112,vr,11
Roelof Adam,Webprogrammeren en databases,w1,C0.110,wo,15
Roelof Adam,Webprogrammeren en databases,p1,A1.10,do,9
Willibrordus Agema,Calculus 2,h1 WRONG,C0.110,do,13
Willibrordus Agema,Calculus 2,w1,C0.110,ma,13
Servaas Anker,Architectuur en computerorganisatie,h1,A1.06 WRONG,wo,15
Servaas Anker,Architectuur en computerorganisatie,h2,A1.06,do,9
Servaas Anker,Software engineering,h1,A1.04,ma WRONG,13
Servaas Anker,Software engineering,w1,A1.10,vr,15
Servaas Anker,Software engineering,p1,B0.201,vr,11
Wissal Ankone,Compilerbouw practicum,p1,C1.112,vr,-99
Wissal Ankone,Project Genetic Algorithms,p1,C1.112,ma,11
Herman Apeldoorn,Advanced Heuristics,h1,C0.110,do,11
Herman Apeldoorn,Advanced Heuristics,p1,A1.10,wo,9
Herman Apeldoorn,Heuristieken 2,h1,A1.04,wo,11
Herman Apeldoorn,Heuristieken 2,w1,B0.201,do,9
Evi Appel,Collectieve Intelligentie,h1,B0.201,do,13
Evi Appel,Collectieve Intelligentie,h2,C1.112,do,15
Evi Appel,Collectieve Intelligentie,h3,C0.110,vr,11
Evi Appel,Collectieve Intelligentie,w1,A1.06,di,13
Evi Appel,Collectieve Intelligentie,p1,C1.112,vr,13
Wilmer Appelhof,Programmeren in Java 2,p1,A1.08,ma,15
Benjamin Arendse,Webprogrammeren en databases,h1,C0.110,di,13
Benjamin Arendse,Webprogrammeren en databases,h2,C1.112,vr,11
Benjamin Arendse,Webprogrammeren en databases,w1,C0.110,wo,15
Benjamin Arendse,Webprogrammeren en databases,p1,A1.06,vr,9
Diny Aslan,Calculus 2,h1,C0.110,do,13
Diny Aslan,Calculus 2,w1,C0.110,ma,13
Chesney Autar,Moderne Databases,h1,A1.10,vr,13
Chesney Autar,Moderne Databases,w1,B0.201,ma,15
Chesney Autar,Moderne Databases,p1,A1.04,vr,11
Martin Avci,Compilerbouw,h1,A1.06,wo,13
Martin Avci,Compilerbouw,h2,A1.08,wo,11
Martin Avci,Compilerbouw,w1,A1.06,di,15
Martin Avci,Compilerbouw,p1,C0.110,ma,17
Martin Avci,Project Numerical Recipes,p1,B0.201,wo,9
Gidon Baetsen,Informatie- en organisatieontwerp,h2,A1.06,do,13
Gidon Baetsen,Informatie- en organisatieontwerp,w1,C0.110,di,15
Gidon Baetsen,Informatie- en organisatieontwerp,p1,A1.08,vr,11
Gidon Baetsen,Informatie- en organisatieontwerp,h1,A1.10,di,13
Gidon Baetsen,Moderne Databases,h1,A1.10,vr,13
Gidon Baetsen,Moderne Databases,w1,C0.110,wo,9
Gidon Baetsen,Moderne Databases,p1,A1.10,do,11
Rhona Bakkum,Collectieve Intelligentie,h1,B0.201,do,13
Rhona Bakkum,Collectieve Intelligentie,h2,C1.112,do,15
Rhona Bakkum,Collectieve Intelligentie,h3,C0.110,vr,11
Rhona Bakkum,Collectieve Intelligentie,w1,C0.110,vr,9
Rhona Bakkum,Collectieve Intelligentie,p1,A1.08,do,15
Rhona Bakkum,Moderne Databases,h1,A1.10,vr,13
Rhona Bakkum,Moderne Databases,w1,C0.110,wo,9
